selected_function,protocol,seed,exp_id,overwrite_plate,passage_overwrite_plate,output_dir,save_function,save_composition,save_plate,function_lograte,composition_lograte,scale,n_inoc,rich_medium,monoculture,dilution,n_wells,n_propagation,n_transfer,n_transfer_selection,metacommunity_sampling,power_alpha,lognormal_mean,lognormal_sd,phi_distribution,phi_mean,phi_sd,phi_lower,phi_upper,ruggedness,function_ratio,binary_threshold,g0,cost_distribution,cost_mean,cost_sd,cost_lower,cost_upper,target_resource,directed_selection,knock_out,knock_in,knock_in_threshold,bottleneck,bottleneck_size,migration,n_migration,s_migration,coalescence,frac_coalescence,resource_shift,r_type,r_percent,sampling,sn,sf,Sgen,rn,rf,R0_food,food,supply,muc,sigc,c0,c1,q,sparsity,fs,fw,g,w,l,m,n,response,sigma_max,regulation,nreg,tau,r,S
f2_interaction,select_top10,1,f2_interaction-bottleneck_select_top10-3-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.001,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top25,1,f2_interaction-bottleneck_pool_top25-3-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.001,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top10,1,f2_interaction-bottleneck_pool_top10-3-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.001,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,directed_selection,1,f2_interaction-bottleneck-4-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.01,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,select_top25,1,f2_interaction-bottleneck_select_top25-4-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.01,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,select_top10,1,f2_interaction-bottleneck_select_top10-4-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.01,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top25,1,f2_interaction-bottleneck_pool_top25-4-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.01,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top10,1,f2_interaction-bottleneck_pool_top10-4-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.01,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,directed_selection,1,f2_interaction-bottleneck-5-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.1,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,select_top25,1,f2_interaction-bottleneck_select_top25-5-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.1,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,select_top10,1,f2_interaction-bottleneck_select_top10-5-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.1,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top25,1,f2_interaction-bottleneck_pool_top25-5-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.1,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top10,1,f2_interaction-bottleneck_pool_top10-5-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.1,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,directed_selection,1,f2_interaction-bottleneck-6-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000001,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,select_top25,1,f2_interaction-bottleneck_select_top25-6-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000001,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,select_top10,1,f2_interaction-bottleneck_select_top10-6-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000001,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top25,1,f2_interaction-bottleneck_pool_top25-6-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000001,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top10,1,f2_interaction-bottleneck_pool_top10-6-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000001,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,directed_selection,1,f2_interaction-bottleneck-7-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000002,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,select_top25,1,f2_interaction-bottleneck_select_top25-7-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000002,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,select_top10,1,f2_interaction-bottleneck_select_top10-7-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000002,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top25,1,f2_interaction-bottleneck_pool_top25-7-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000002,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top10,1,f2_interaction-bottleneck_pool_top10-7-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000002,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,directed_selection,1,f2_interaction-bottleneck-8-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000004,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,select_top25,1,f2_interaction-bottleneck_select_top25-8-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000004,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,select_top10,1,f2_interaction-bottleneck_select_top10-8-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000004,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top25,1,f2_interaction-bottleneck_pool_top25-8-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000004,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top10,1,f2_interaction-bottleneck_pool_top10-8-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000004,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,directed_selection,1,f2_interaction-bottleneck-9-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000008,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,select_top25,1,f2_interaction-bottleneck_select_top25-9-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000008,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,select_top10,1,f2_interaction-bottleneck_select_top10-9-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000008,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top25,1,f2_interaction-bottleneck_pool_top25-9-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000008,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top10,1,f2_interaction-bottleneck_pool_top10-9-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000008,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,directed_selection,1,f2_interaction-bottleneck-10-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000016,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,select_top25,1,f2_interaction-bottleneck_select_top25-10-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000016,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,select_top10,1,f2_interaction-bottleneck_select_top10-10-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000016,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top25,1,f2_interaction-bottleneck_pool_top25-10-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000016,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top10,1,f2_interaction-bottleneck_pool_top10-10-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000016,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,directed_selection,1,f2_interaction-bottleneck-11-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000032,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,select_top25,1,f2_interaction-bottleneck_select_top25-11-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000032,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,select_top10,1,f2_interaction-bottleneck_select_top10-11-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000032,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top25,1,f2_interaction-bottleneck_pool_top25-11-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000032,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top10,1,f2_interaction-bottleneck_pool_top10-11-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000032,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,directed_selection,1,f2_interaction-bottleneck-12-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000064,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,select_top25,1,f2_interaction-bottleneck_select_top25-12-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000064,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,select_top10,1,f2_interaction-bottleneck_select_top10-12-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000064,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top25,1,f2_interaction-bottleneck_pool_top25-12-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000064,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
f2_interaction,pool_top10,1,f2_interaction-bottleneck_pool_top10-12-1,NA,False,/home/cc2553/project/community-selection/data/independent_f2_interaction/,True,FALSE,False,1,20,1000000,1e+06,TRUE,False,0.001,96,1,40,20,Power,0.01,8,8,Norm,0,1,0,1,NA,1,1,1,Norm,0,0,0,1,NA,True,False,False,NA,True,0.000064,False,1e+06,NA,False,NA,False,NA,NA,Binary_Gamma,2100,1,0,90,1,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,type III,1,NA,NA,NA,NA,100
